GoldenTweaks Silent Gear 材料属性列表
材料总数：629
说明：仅包含已由材料设计文档明确分类的当前材料；所有配方均使用设计指定的具体物品 ID；原批注已保留。

短ID	材料ID	显示名称	护甲值	挖掘速度	攻击力	原批注	材料类别	等级	语义偏移
pure_malachite	goldentweaks:compat/spectrum/pure_malachite	Pure Malachite	43.848	40.194	25.578	宝石	超级纯宝石	1	偏高 0.00
pure_netherite_scrap	goldentweaks:compat/spectrum/pure_netherite_scrap	Pure Netherite Scrap	29.667	27.194	17.305	覆层	纯宝石	4	偏低 0.08
pure_prismarine	goldentweaks:compat/spectrum/pure_prismarine	Pure Prismarine	20.194	18.511	11.78	宝石	纯宝石	3	偏低 0.18
pure_quartz	goldentweaks:compat/spectrum/pure_quartz	Pure Quartz	13.664	12.525	7.97	宝石	纯宝石	2	偏低 0.22
pure_redstone	goldentweaks:compat/spectrum/pure_redstone	Pure Redstone	12.812	11.744	7.474	宝石	纯宝石	2	偏低 0.44
purple_leaves	goldentweaks:compat/spectrum/purple_leaves	Purple Leaves					染色树叶		偏高 0.00
purple_planks	goldentweaks:compat/spectrum/purple_planks	Purple Planks	7.003	4.848	1.481		染色木材	1	偏低 0.02
red_leaves	goldentweaks:compat/spectrum/red_leaves	Red Leaves					染色树叶		偏高 0.00
red_planks	goldentweaks:compat/spectrum/red_planks	Red Planks	7.213	4.994	1.526		染色木材	1	偏高 0.23
resplendent_feather	goldentweaks:compat/spectrum/resplendent_feather	Resplendent Feather					花羽	4	偏高 0.00
shale	goldentweaks:compat/spectrum/shale	Shale Clay	7.165	2.425	1.543		石头	2	偏高 0.41
shimmerstone	goldentweaks:compat/spectrum/shimmerstone	Shimmerstone Gem	7.119	5.695	3.624	宝石	宝石	2	偏低 0.33
slate_noxwood_planks	goldentweaks:compat/spectrum/slate_noxwood_planks	Slate Noxwood Planks	10.849	6.3	1.925		异界木材	1	偏低 0.45
spectral	goldentweaks:compat/spectrum/spectral	Spectral Shard	63.504	58.212	37.044		超级纯宝石	2	偏高 0.00
spirit_sallow_log	goldentweaks:compat/spectrum/spirit_sallow_log	Spirit Sallow Log	18.165	12.576	3.843		稀有木材	1	偏低 0.02
stratine	goldentweaks:compat/spectrum/stratine	Stratine Gem	13.961	11.169	7.108	宝石	宝石	4	偏低 0.11
stratine_fragments	goldentweaks:compat/spectrum/stratine_fragments	Stratine Fragments					碎片	3	偏低 0.55
sugar_stick	goldentweaks:compat/spectrum/sugar_stick	Sugar Stick					手柄	3	偏高 0.48
topaz	goldentweaks:compat/spectrum/topaz	Topaz Shard	5.5	4.4	2.8		宝石	1	偏低 0.06
topaz_sugar_stick	goldentweaks:compat/spectrum/topaz_sugar_stick	Topaz Sugar Stick					手柄	4	偏高 0.37
weeping_gala_leaves	goldentweaks:compat/spectrum/weeping_gala_leaves	Weeping Gala Leaves					稀有树叶		偏低 0.47
weeping_gala_planks	goldentweaks:compat/spectrum/weeping_gala_planks	Weeping Gala Planks	11.891	6.904	2.11		异界木材	1	偏高 0.31
white_leaves	goldentweaks:compat/spectrum/white_leaves	White Leaves					染色树叶		偏高 0.00
white_planks	goldentweaks:compat/spectrum/white_planks	White Planks	6.748	4.672	1.427		染色木材	1	偏低 0.32
yellow_leaves	goldentweaks:compat/spectrum/yellow_leaves	Yellow Leaves					染色树叶		偏高 0.00
yellow_planks	goldentweaks:compat/spectrum/yellow_planks	Yellow Planks	6.618	4.582	1.4		染色木材	1	偏低 0.48
ash_bricks	goldentweaks:compat/supplementaries/ash_bricks	Ash Bricks	4.773	1.615	1.028		石头	1	偏低 0.17
supplementaries_flax	goldentweaks:compat/supplementaries/supplementaries_flax	Flax					线	1	偏高 0.07
supplementaries_rope	goldentweaks:compat/supplementaries/supplementaries_rope	Rope					线	1	偏高 0.09
creation	goldentweaks:compat/taintedmagic/creation	Shard of Creation					超级碎片	2	偏高 0.00
crimson_stained_cloth	goldentweaks:compat/taintedmagic/crimson_stained_cloth	Crimson-stained Cloth					稀有革织	1	偏高 0.39
shadow_imbued_cloth	goldentweaks:compat/taintedmagic/shadow_imbued_cloth	Shadow-imbued Cloth					革织	3	偏低 0.29
shadow_metal_ingot	goldentweaks:compat/taintedmagic/shadow_metal_ingot	Shadow Metal Ingot	26.96	10.245	4.314		硬金属	4	
tainted_unbalanced	goldentweaks:compat/taintedmagic/tainted_unbalanced	Tainted Unbalanced Shard					碎片	2	偏高 0.18
warped_unbalanced	goldentweaks:compat/taintedmagic/warped_unbalanced	Warped Unbalanced Shard					碎片	2	偏高 0.55
warpwood_leaves	goldentweaks:compat/taintedmagic/warpwood_leaves	Warped Leaves					魔法树叶		偏高 0.10
warpwood_planks	goldentweaks:compat/taintedmagic/warpwood_planks	Warpwood Planks	9.772	6.765	2.067		魔法木材	1	偏高 0.13
warpwood_staff_rod	goldentweaks:compat/taintedmagic/warpwood_staff_rod	Warpwood Staff Rod					超级杖柄	1	偏低 0.55
warpwood_wand_rod	goldentweaks:compat/taintedmagic/warpwood_wand_rod	Warpwood Wand Rod					超级杖柄	1	偏高 0.36
air	goldentweaks:compat/thaumcraft/air	Air Shard				和同模组的火之碎片数值相同，碎片都是宝石	碎片	1	偏低 0.55
ancient_stone	goldentweaks:compat/thaumcraft/ancient_stone	Ancient Stone	13.456	4.554	2.898		石头	4	偏高 0.29
arcane_stone	goldentweaks:compat/thaumcraft/arcane_stone	Arcane Stone Block	10.015	3.39	2.157		石头	3	偏高 0.52
balanced	goldentweaks:compat/thaumcraft/balanced	Balanced Shard					碎片	2	偏低 0.55
blaze_staff_rod	goldentweaks:compat/thaumcraft/blaze_staff_rod	Blazing Staff Core					杖柄	1	偏高 0.42
blaze_wand_rod	goldentweaks:compat/thaumcraft/blaze_wand_rod	Blazing Rod					杖柄	1	偏低 0.00
bone_staff_rod	goldentweaks:compat/thaumcraft/bone_staff_rod	Bone Staff Core					杖柄	1	偏高 0.38
bone_wand_rod	goldentweaks:compat/thaumcraft/bone_wand_rod	Bone Rod					杖柄	1	偏低 0.36
crusted_stone	goldentweaks:compat/thaumcraft/crusted_stone	Crusted Stone	13.373	4.526	2.88		石头	4	偏高 0.24
earth	goldentweaks:compat/thaumcraft/earth	Earth Shard					碎片	1	偏低 0.37
enchanted_fabric	goldentweaks:compat/thaumcraft/enchanted_fabric	Enchanted Fabric					革织	3	偏低 0.09
entropy	goldentweaks:compat/thaumcraft/entropy	Entropy Shard					碎片	1	偏高 0.37
fire	goldentweaks:compat/thaumcraft/fire	Fire Shard					碎片	1	偏高 0.00
glowing_ancient_stone	goldentweaks:compat/thaumcraft/glowing_ancient_stone	Glowing Ancient Stone	13.621	4.61	2.934		石头	4	偏高 0.40
greatwood_leaves	goldentweaks:compat/thaumcraft/greatwood_leaves	Greatwood Leaves					魔法树叶		偏高 0.00
greatwood_planks	goldentweaks:compat/thaumcraft/greatwood_planks	Greatwood Planks	9.502	6.579	2.01		魔法木材	1	偏低 0.10
greatwood_staff_rod	goldentweaks:compat/thaumcraft/greatwood_staff_rod	Greatwood Staff Core					杖柄	1	偏低 0.31
greatwood_wand_rod	goldentweaks:compat/thaumcraft/greatwood_wand_rod	Greatwood Rod					杖柄	1	偏低 0.31
ice_staff_rod	goldentweaks:compat/thaumcraft/ice_staff_rod	Icy Staff Core					杖柄	1	偏高 0.20
ice_wand_rod	goldentweaks:compat/thaumcraft/ice_wand_rod	Icy Rod					杖柄	1	偏低 0.53
obsidian_staff_rod	goldentweaks:compat/thaumcraft/obsidian_staff_rod	Obsidian Staff Core					杖柄	1	偏低 0.07
obsidian_wand_rod	goldentweaks:compat/thaumcraft/obsidian_wand_rod	Obsidian Rod					杖柄	1	偏高 0.28
order	goldentweaks:compat/thaumcraft/order	Order Shard					碎片	1	偏高 0.18
primal_staff_rod	goldentweaks:compat/thaumcraft/primal_staff_rod	Staff Core of the Primal					超级杖柄	1	偏高 0.48
quartz_staff_rod	goldentweaks:compat/thaumcraft/quartz_staff_rod	Quartz Staff Core					杖柄	1	偏高 0.47
quartz_wand_rod	goldentweaks:compat/thaumcraft/quartz_wand_rod	Quartz Rod					杖柄	1	偏低 0.43
reed_staff_rod	goldentweaks:compat/thaumcraft/reed_staff_rod	Reed Staff Core					杖柄	1	偏低 0.30
reed_wand_rod	goldentweaks:compat/thaumcraft/reed_wand_rod	Reed Rod					杖柄	1	偏高 0.14
silverwood_leaves	goldentweaks:compat/thaumcraft/silverwood_leaves	Silverwood Leaves					魔法树叶		偏低 0.53
silverwood_planks	goldentweaks:compat/thaumcraft/silverwood_planks	Silverwood Planks	9.92	6.868	2.098		魔法木材	1	偏高 0.26
silverwood_staff_rod	goldentweaks:compat/thaumcraft/silverwood_staff_rod	Silverwood Staff Core					杖柄	2	偏低 0.46
silverwood_wand_rod	goldentweaks:compat/thaumcraft/silverwood_wand_rod	Silverwood Rod					杖柄	2	偏高 0.22
thaumium_ingot	goldentweaks:compat/thaumcraft/thaumium_ingot	Thaumium Ingot	22.2	8.436	3.552		硬金属	3	
void_metal_ingot	goldentweaks:compat/thaumcraft/void_metal_ingot	Void Metal Ingot	17.4	14.79	1.74		软金属	3	
water	goldentweaks:compat/thaumcraft/water	Water Shard					碎片	1	偏低 0.18
astral_alloy	goldentweaks:compat/thaumcraftcelestial/astral_alloy	Astral Alloy	68	25.84	10.88		硬金属	8	
meteorite_fragment	goldentweaks:compat/thaumcraftcelestial/meteorite_fragment	Meteorite Fragment				宝石	碎片	5	偏高 0.55
ender	goldentweaks:compat/thaumic_tinkerer/ender	Ender Shard					碎片	4	偏高 0.55
ichorcloth	goldentweaks:compat/thaumic_tinkerer/ichorcloth	Ichorcloth				稀有有机物，增强10倍	稀有革织	2	偏低 0.02
ichorcloth_wand_rod	goldentweaks:compat/thaumic_tinkerer/ichorcloth_wand_rod	Ichorcloth Strapped Silverwood Wand Core					超级杖柄	2	偏低 0.36
ichorium_ingot	goldentweaks:compat/thaumic_tinkerer/ichorium_ingot	Ichorium	68	25.84	10.88	稀有金属，增强10倍	硬金属	8	
shard	goldentweaks:compat/thaumic_tinkerer/shard	Nether Shard					碎片	3	偏高 0.55
smoky_quartz	goldentweaks:compat/thaumic_tinkerer/smoky_quartz	Smokey Quartz	5.822	4.658	2.964	宝石	宝石	1	偏高 0.18
jingxu_youlan	goldentweaks:compat/touhou_little_maid_spell/jingxu_youlan	Jingxu Youlan					花羽	3	偏高 0.42
scarlet_zhuhua	goldentweaks:compat/touhou_little_maid_spell/scarlet_zhuhua	Scarlet Zhuhua					花羽	3	偏高 0.12
yue_linglan	goldentweaks:compat/touhou_little_maid_spell/yue_linglan	Yue Linglan					花羽	3	偏低 0.02
abyssal_spellweave_ingot	goldentweaks:compat/traveloptics/abyssal_spellweave_ingot	Abyssal Spellweave Ingot	92.12	44.218	17.503		超级金属	1	
celestial_spellweave_ingot	goldentweaks:compat/traveloptics/celestial_spellweave_ingot	Celestial Spellweave Ingot	193.56	92.909	36.776		超级金属	4	
crimson_spellweave_ingot	goldentweaks:compat/traveloptics/crimson_spellweave_ingot	Crimson Spellweave Ingot	107.32	51.514	20.391		超级金属	2	
cryo_spellweave_ingot	goldentweaks:compat/traveloptics/cryo_spellweave_ingot	Cryo Spellweave Ingot	101.32	48.634	19.251		超级金属	2	
eldritch_spellweave_ingot	goldentweaks:compat/traveloptics/eldritch_spellweave_ingot	Eldritch Spellweave Ingot	150.28	72.134	28.553		超级金属	3	
evokated_spellweave_ingot	goldentweaks:compat/traveloptics/evokated_spellweave_ingot	Evokated Spellweave Ingot	138.44	66.451	26.304		超级金属	3	
lightning_spellweave_ingot	goldentweaks:compat/traveloptics/lightning_spellweave_ingot	Lightning Spellweave Ingot	115.44	55.411	21.934		超级金属	2	
pyro_spellweave_ingot	goldentweaks:compat/traveloptics/pyro_spellweave_ingot	Pyro Spellweave Ingot	83.84	40.243	15.93		超级金属	1	
verdant_spellweave_ingot	goldentweaks:compat/traveloptics/verdant_spellweave_ingot	Verdant Spellweave Ingot	82	39.36	15.58		超级金属	1	
void_spellweave_ingot	goldentweaks:compat/traveloptics/void_spellweave_ingot	Void Spellweave Ingot	88.44	42.451	16.804		超级金属	1	
copper	goldentweaks:copper	Copper	12	4.56	1.92		硬金属	1	
crimson_iron	goldentweaks:crimson_iron	Crimson Iron Ingot	25.84	9.819	4.134		硬金属	4	
crimson_steel	goldentweaks:crimson_steel	Crimson Steel Ingot	40.64	15.443	6.502		硬金属	6	
diamond	goldentweaks:diamond	Diamond	15.752	12.602	8.019		宝石	4	偏高 0.33
electrum	goldentweaks:electrum	Electrum Ingot	8	6.8	0.8		软金属	1	
emerald	goldentweaks:emerald	Emerald	16.72	13.376	8.512		宝石	4	偏高 0.55
end_stone	goldentweaks:end_stone	End Stone	9.096	3.079	1.959		石头	3	偏低 0.29
enderium	goldentweaks:enderium	Enderium Ingot	57.8	21.964	9.248		硬金属	7	
fine_silk	goldentweaks:fine_silk	Fine Silk					线	3	偏低 0.20
fluffy_string	goldentweaks:fluffy_string	Fluffy String					线	2	偏低 0.13
garnet	goldentweaks:garnet	Garnet	8.184	6.547	4.166		宝石	2	偏高 0.22
gold	goldentweaks:gold	Gold	8	6.8	0.8		软金属	1	
heliodor	goldentweaks:heliodor	Heliodor	9.541	7.633	4.857		宝石	3	偏低 0.41
invar	goldentweaks:invar	Invar Ingot	21.2	8.056	3.392		硬金属	3	
iolite	goldentweaks:iolite	Iolite	11.297	9.038	5.751		宝石	3	偏高 0.28
iron	goldentweaks:iron	Iron	16	6.08	2.56		硬金属	2	
kyanite	goldentweaks:kyanite	Kyanite	7.7	6.16	3.92		宝石	2	偏高 0.00
lapis_lazuli	goldentweaks:lapis_lazuli	Lapis Lazuli	6.253	5.003	3.184		宝石	1	偏高 0.43
lead	goldentweaks:lead	Lead Ingot	12.8	4.864	2.048		硬金属	1	
leather	goldentweaks:leather	Leather					革织	1	偏高 0.55
lumium	goldentweaks:lumium	Lumium Ingot	25.56	9.713	4.09		硬金属	4	
moldavite	goldentweaks:moldavite	Moldavite	9.24	7.392	4.704		宝石	3	偏低 0.55
netherite	goldentweaks:netherite	Netherite					金属覆层	2	
netherrack	goldentweaks:netherrack	Netherrack	5.015	1.697	1.08		石头	1	偏高 0.24
netherwood	goldentweaks:netherwood	Netherwood Planks	11.172	6.487	1.982		异界木材	1	偏低 0.22
nickel	goldentweaks:nickel	Nickel Ingot	16.48	6.262	2.637		硬金属	2	
obsidian	goldentweaks:obsidian	Obsidian	6.845	2.317	1.474		石头	2	偏高 0.03
opal	goldentweaks:opal	Opal	7.942	6.354	4.043		宝石	2	偏高 0.11
osmium	goldentweaks:osmium	Osmium Ingot	26.68	10.138	4.269		硬金属	4	
pearl	goldentweaks:pearl	Pearl	14.784	11.827	7.526		宝石	4	偏高 0.11
phantom_membrane	goldentweaks:phantom_membrane	Phantom Membrane					革织	3	偏高 0.16
platinum	goldentweaks:platinum	Platinum Ingot	12.76	10.846	1.276		软金属	2	
prismarine	goldentweaks:prismarine	Prismarine	9.357	3.167	2.015		石头	3	偏低 0.06
quartz	goldentweaks:quartz	Quartz	5.5	4.4	2.8		宝石	1	偏低 0.31
redstone	goldentweaks:redstone	Redstone	6.038	4.831	3.074		宝石	1	偏高 0.31
refined_glowstone	goldentweaks:refined_glowstone	Refined Glowstone Ingot	24.2	9.196	3.872		硬金属	4	
refined_obsidian	goldentweaks:refined_obsidian	Refined Obsidian Ingot	35.96	13.665	5.754		硬金属	5	
rose_quartz	goldentweaks:rose_quartz	Rose Quartz	10.45	8.36	5.32		宝石	3	偏高 0.00
signalum	goldentweaks:signalum	Signalum Ingot	25.84	9.819	4.134		硬金属	4	
silver	goldentweaks:silver	Silver Ingot	8	6.8	0.8		软金属	1	
sinew	goldentweaks:sinew	Sinew Fiber					线	2	偏低 0.05
steel	goldentweaks:steel	Steel Ingot	25.28	9.606	4.045		硬金属	4	
stone	goldentweaks:stone	Stone	4.774	1.616	1.028		石头	1	偏低 0.17
andesite	goldentweaks:stone/andesite	Andesite	7.084	2.398	1.526		石头	2	偏高 0.32
diorite	goldentweaks:stone/diorite	Diorite	6.666	2.256	1.436		石头	2	偏低 0.19
granite	goldentweaks:stone/granite	Granite	7.013	2.374	1.511		石头	2	偏高 0.23
string	goldentweaks:string	String					线	1	偏高 0.41
tanzanite	goldentweaks:tanzanite	Tanzanite	8.91	7.128	4.536		宝石	2	偏高 0.55
tin	goldentweaks:tin	Tin Ingot	12	4.56	1.92		硬金属	1	
titanium	goldentweaks:titanium	Titanium Ingot	33.8	12.844	5.408		硬金属	5	
topaz	goldentweaks:topaz	Topaz Silentgems	8.668	6.934	4.413		宝石	2	偏高 0.44
turquoise	goldentweaks:turquoise	Turquoise	10.146	8.117	5.165		宝石	3	偏低 0.14
tyrian_steel	goldentweaks:tyrian_steel	Tyrian Steel Ingot	66.8	25.384	10.688		硬金属	8	
uranium	goldentweaks:uranium	Uranium Ingot	27.24	10.351	4.358		硬金属	4	
vine	goldentweaks:vine	Vine					线	1	偏低 0.26
white_diamond	goldentweaks:white_diamond	White Diamond	19.8	15.84	10.08		宝石	5	偏高 0.08
acacia	goldentweaks:wood/acacia	Wood Acacia	5.801	4.016	1.227		普通木材	1	偏高 0.52
birch	goldentweaks:wood/birch	Wood Birch	5.47	3.787	1.157		普通木材	1	偏高 0.01
crimson	goldentweaks:wood/crimson	Wood Crimson	11.471	6.661	2.035		异界木材	1	偏高 0.00
dark_oak	goldentweaks:wood/dark_oak	Wood Dark Oak	5.535	3.832	1.171		普通木材	1	偏高 0.12
jungle	goldentweaks:wood/jungle	Wood Jungle	5.168	3.578	1.093		普通木材	1	偏低 0.45
oak	goldentweaks:wood/oak	Wood Oak	5.579	3.862	1.18		普通木材	1	偏高 0.18
spruce	goldentweaks:wood/spruce	Wood Spruce	5.281	3.656	1.117		普通木材	1	偏低 0.27
warped	goldentweaks:wood/warped	Wood Warped	10.867	6.31	1.928		异界木材	1	偏低 0.44
black	goldentweaks:wool/black	Wool Black					革织	2	偏高 0.00
blue	goldentweaks:wool/blue	Wool Blue					革织	2	偏高 0.00
brown	goldentweaks:wool/brown	Wool Brown					革织	2	偏高 0.00
cyan	goldentweaks:wool/cyan	Wool Cyan					革织	2	偏高 0.00
gray	goldentweaks:wool/gray	Wool Gray					革织	2	偏高 0.00
green	goldentweaks:wool/green	Wool Green					革织	2	偏高 0.00
light_blue	goldentweaks:wool/light_blue	Wool Light Blue					革织	2	偏高 0.00
light_gray	goldentweaks:wool/light_gray	Wool Light Gray					革织	2	偏高 0.00
lime	goldentweaks:wool/lime	Wool Lime					革织	2	偏高 0.00
magenta	goldentweaks:wool/magenta	Wool Magenta					革织	2	偏高 0.00
orange	goldentweaks:wool/orange	Wool Orange					革织	2	偏高 0.00
pink	goldentweaks:wool/pink	Wool Pink					革织	2	偏高 0.00
purple	goldentweaks:wool/purple	Wool Purple					革织	2	偏高 0.00
red	goldentweaks:wool/red	Wool Red					革织	2	偏高 0.00
white	goldentweaks:wool/white	Wool White					革织	2	偏高 0.00
yellow	goldentweaks:wool/yellow	Wool Yellow					革织	2	偏高 0.00
